,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
310,Nassef Sawiris,,61,"construction, investments",,,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, University of Chicago","https://imageio.forbes.com/specials-images/imageserve/6009d55aa6075e42a1124d7e/0x0.jpg?format=jpg&crop=1020,1020,x526,y29,safe&height=416&width=416&fit=bounds",$7.8B,$7.7B,,,,,,,,,,,,,,,$6.5B,$6.7B,$6.3B,$3.7B,$5.6B,$6.6B,$6.4B,$5B,$8.3B,$7.7B,,https://www.forbes.com/profile/nassef-sawiris/?list=billionaires
311,Xu Shihui,,64,"snacks, beverages, Self Made",,,"Quanzhou, China",China,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5a05f0a14bbe6f37dda22921/0x0.jpg?format=jpg&crop=4000,4004,x9,y480,safe&height=416&width=416&fit=bounds",$7.7B,$7.7B,,,,,,,,,,,,,,,,,,$6.2B,$6.6B,$11.3B,$9.3B,$8B,$8.7B,$7.7B,,https://www.forbes.com/profile/xu-shihui/?list=billionaires
312,Rahel Blocher,,46,chemicals,,,"Wilen bei Wollerau, Switzerland",Switzerland,,,,"https://imageio.forbes.com/specials-images/imageserve/5c72351a31358e35dd26ff8a/0x0.jpg?format=jpg&crop=491,491,x41,y34,safe&height=416&width=416&fit=bounds",$7.1B,$7.6B,,,,,,,,,,,,,,,,$2.9B,$3.5B,$3.7B,$4.6B,$5.5B,$4.2B,$4.9B,$7.1B,$7.6B,,https://www.forbes.com/profile/rahel-blocher/?list=billionaires
313,Shahid Khan,,71,"auto parts, Self Made",10,1,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign","https://imageio.forbes.com/specials-images/imageserve/5d8a654022254b0008e15acc/0x0.jpg?format=jpg&crop=2101,2104,x261,y268,safe&height=416&width=416&fit=bounds",$7.6B,$7.6B,,,,,,,,,,,,,,,$2.9B,$4.1B,$4.5B,$5.9B,$8.2B,$7.2B,$6.8B,$7.8B,$8B,$7.6B,"You have to take your lumps and face reality... There's always some good in something bad happening to you, and you look for that.",https://www.forbes.com/profile/shahid-khan/?list=billionaires
314,Magdalena Martullo-Blocher,,53,chemicals,,,"Feldmeilen, Switzerland",Switzerland,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5e77d0b2d8e1ae0007b73689/0x0.jpg?format=jpg&crop=2353,2354,x786,y195,safe&height=416&width=416&fit=bounds",$7.1B,$7.6B,,,,,,,,,,,,,,,,$2.9B,$3.4B,$3.7B,$4.5B,$5.5B,$4.3B,$5B,$7.1B,$7.6B,,https://www.forbes.com/profile/magdalena-martullo-blocher/?list=billionaires
315,Vincent Bolloré & family,,70,investments,,,"Paris, France",France,Married,4,"LLB, Universite Paris X Nanterre","https://imageio.forbes.com/specials-images/imageserve/5e75a67c10380d0006fbaa27/0x0.jpg?format=jpg&crop=892,893,x71,y65,safe&height=416&width=416&fit=bounds",$8B,$7.5B,,,,,,,,,,,,,,,$4B,$7.4B,$6.7B,$5.3B,$5.2B,$7.4B,$5.1B,$3.5B,$7B,$7.5B,,https://www.forbes.com/profile/vincent-bollore/?list=billionaires
316,Jeffery Hildebrand,,63,"oil, Self Made",8,2,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin","https://imageio.forbes.com/specials-images/imageserve/5d8addf818444200084e726c/0x0.jpg?format=jpg&crop=517,518,x802,y710,safe&height=416&width=416&fit=bounds",$9B,$7.5B,,,,,,,,,,,,,,,$5.5B,$5.5B,$4.9B,$4.2B,$4.3B,$3.6B,$3B,$2.2B,$2B,$7.5B,,https://www.forbes.com/profile/jeffery-hildebrand/?list=billionaires
317,Michael Kim, MBK Partners,58,"private equity, Self Made",7,1,"Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College","https://imageio.forbes.com/specials-images/imageserve/60b1234a57b6567f575f6bbe/0x0.jpg?format=jpg&crop=1559,1559,x0,y341,safe&height=416&width=416&fit=bounds",$7.7B,$7.5B,,,,,,,,,,,,,,,,,,,,$1B,$1B,$1.5B,$1.9B,$7.5B,"I always thought the success I've had is due to some talent, yes, hard work, yes, but it's also due to luck. Recognition of that is critical to giving you a sense of reality and it's from that recognition that you get humility.",https://www.forbes.com/profile/michael-kim/?list=billionaires
318,Richard Kinder,"Chairman and CEO, Kinder Morgan",77,"pipelines, Self Made",8,3,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri","https://imageio.forbes.com/specials-images/imageserve/5c76d0e4a7ea43100043cdf2/0x0.jpg?format=jpg&crop=2190,2189,x995,y56,safe&height=416&width=416&fit=bounds",$8B,$7.5B,,,,,,,,,,,,,,,$9.8B,$9.5B,$12B,$5.4B,$7.2B,$6.2B,$6.6B,$5.2B,$7B,$7.5B,,https://www.forbes.com/profile/richard-kinder/?list=billionaires
319,David Shaw,"Founder, D. E. Shaw & Co., L.P.",71,"hedge funds, Self Made",8,1,"New York, New York",United States,Married,3,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego","https://imageio.forbes.com/specials-images/imageserve/239960e569e988f52709225581a9680b/0x0.jpg?format=jpg&crop=744,744,x0,y71,safe&height=416&width=416&fit=bounds",$7.5B,$7.5B,,,,,,,,,,,,,,,$3.4B,$3.6B,$4.1B,$5B,$5.4B,$6.4B,$7B,$7.3B,$7.3B,$7.5B,,https://www.forbes.com/profile/david-shaw/?list=billionaires
320,John Malone,,81,"cable television, Self Made",8,3,"Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University","https://imageio.forbes.com/specials-images/imageserve/5d8a6f7622254b0008e15c5a/0x0.jpg?format=jpg&crop=1989,1987,x184,y13,safe&height=416&width=416&fit=bounds",$7.1B,$7.4B,,,,,,,,,,,,,,,$6B,$7.5B,$8.3B,$6.3B,$7.7B,$8.1B,$7.2B,$5.8B,$7.8B,$7.4B,,https://www.forbes.com/profile/john-malone/?list=billionaires
321,Vicky Safra,,69,banking,,,"Crans-Montana, Switzerland",Greece,Widowed,4,,,$7.8B,$7.4B,,,,,,,,,,,,,,,,,,,,,,,$7.4B,$7.4B,,https://www.forbes.com/profile/vicky-safra/?list=billionaires
322,Tim Sweeney,,51,"video games, Self Made",8,1,"Cary, North Carolina",United States,,,"Bachelor of Arts/Science, University of Maryland, College Park","https://imageio.forbes.com/specials-images/imageserve/5f4d56fc32cd442c9badd820/0x0.jpg?format=jpg&crop=4004,4003,x0,y0,safe&height=416&width=416&fit=bounds",$7.6B,$7.4B,,,,,,,,,,,,,,,,,,,,,$2B,$4.5B,$4.7B,$7.4B,,https://www.forbes.com/profile/tim-sweeney/?list=billionaires
323,Mike Adenuga,,69,"telecom, oil, Self Made",,,"Lagos, Nigeria",Nigeria,Married,7,"Master of Business Administration, Pace University","https://imageio.forbes.com/specials-images/imageserve/5c33a1a6a7ea4364f49fc5a6/0x0.jpg?format=jpg&crop=3960,3963,x18,y9,safe&height=416&width=416&fit=bounds",$6.9B,$7.3B,,,,,,,,,,,,,,,$4.7B,$4.6B,$4.2B,$10B,$5.8B,$5.3B,$9.2B,$5.6B,$6.1B,$7.3B,,https://www.forbes.com/profile/mike-adenuga/?list=billionaires
324,David Green & family,"CEO, Hobby Lobby",80,"retail, Self Made",10,3,"Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School","https://imageio.forbes.com/specials-images/imageserve/5d275f874c687b00085c62e0/0x0.jpg?format=jpg&crop=2325,2323,x581,y425,safe&height=416&width=416&fit=bounds",$6.6B,$7.3B,,,,,,,,,,,,,,,$4.5B,$5B,$6B,$5.6B,$6.2B,$6.8B,$7B,$6.3B,$7.6B,$7.3B,"I don't care if you're in business or out of business, God owns it... How do I separate it? Well, it's God's in church and it's mine here. You can't have a belief system on Sunday and not live it the other six days.",https://www.forbes.com/profile/david-green/?list=billionaires
325,"Paul Tudor Jones, II.","Founder, Tudor Investment Corporation",67,"hedge funds, Self Made",7,1,"Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Virginia","https://imageio.forbes.com/specials-images/imageserve/5d8a957e22254b0008e160ed/0x0.jpg?format=jpg&crop=688,688,x18,y32,safe&height=416&width=416&fit=bounds",$7.3B,$7.3B,,,,,,,,,,,,,,,$3.6B,$4.3B,$4.6B,$4.7B,$4.7B,$4.5B,$5.1B,$5.1B,$7B,$7.3B,,https://www.forbes.com/profile/paul-tudor-jones-ii/?list=billionaires
326,Yuri Milner,"Partner, DST Global",60,"tech investments, Self Made",,,"Los Altos, California",Israel,Married,3,"Master of Science, Moscow State University; Drop Out, University of Pennsylvania, The Wharton School","https://imageio.forbes.com/specials-images/imageserve/5e7792c5c7b02d000666d919/0x0.jpg?format=jpg&crop=2450,2448,x288,y20,safe&height=416&width=416&fit=bounds",$7.3B,$7.3B,,,,,,,,,,,,,,,$1.1B,$1.8B,$3.2B,$2.8B,$3.5B,$3.7B,$3.6B,$3.8B,$4.8B,$7.3B,,https://www.forbes.com/profile/yuri-milner/?list=billionaires
327,Henry Samueli,"Cofounder, Chief Technology Officer and Chairman, Broadcom",67,"semiconductors, Self Made",9,1,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles","https://imageio.forbes.com/specials-images/imageserve/5d8aa0fd6de3150009a5030b/0x0.jpg?format=jpg&crop=1062,1062,x376,y38,safe&height=416&width=416&fit=bounds",$7.3B,$7.3B,,,,,,,,,,,,,,,$1.7B,$2B,$2.4B,$2.6B,$3.6B,$3.8B,$4.3B,$3.5B,$6.1B,$7.3B,"People in the industry said, 'You guys are crazy, this will never work.' We were trying to build these high performance radios and communication circuits out of very average technologies. But we saw that it could be done. ",https://www.forbes.com/profile/henry-samueli/?list=billionaires
328,Patrick Soon-Shiong,,69,"pharmaceuticals, Self Made",9,1,"Los Angeles, California",United States,Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand","https://imageio.forbes.com/specials-images/imageserve/5ba4416731358e5690cd9dd9/0x0.jpg?format=jpg&crop=687,686,x1048,y186,safe&height=416&width=416&fit=bounds",$6.5B,$7.3B,,,,,,,,,,,,,,,$8B,$10B,$12.2B,$11.9B,$8.6B,$7.8B,$7B,$6.4B,$7.5B,$7.3B,"My quest was and is to improve the quality of life through science. That is what drove me then, and that is what is driving me now.",https://www.forbes.com/profile/patrick-soon-shiong/?list=billionaires
329,Antonia Ax:son Johnson & family,,78,diversified,,,"Stockholm, Sweden",Sweden,Married,4,"Master of Arts, University of Stockholm","https://imageio.forbes.com/specials-images/imageserve/5c721c55a7ea431000435142/0x0.jpg?format=jpg&crop=1725,1724,x624,y0,safe&height=416&width=416&fit=bounds",$7.4B,$7.2B,,,,,,,,,,,,,,,$9.2B,$8.5B,$5.3B,$5.7B,$5.5B,$6.3B,$5.4B,$5.5B,$7.4B,$7.2B,,https://www.forbes.com/profile/antonia-axson-johnson/?list=billionaires
330,Michael Kadoorie,,80,"hotels, energy",,,"Hong Kong, Hong Kong",Hong Kong,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/603523b2bb4ffd70b0a75b93/0x0.jpg?format=jpg&crop=1945,1945,x269,y96,safe&height=416&width=416&fit=bounds",$7.1B,$7.2B,,,,,,,,,,,,,,,$9.5B,$8.5B,$6.2B,$5.8B,$6.7B,$7.3B,$8.6B,$7.3B,$7.2B,$7.2B,,https://www.forbes.com/profile/michael-kadoorie/?list=billionaires
331,Lin Shu-hong,,93,"petrochemicals, Self Made",,,"Taipei, Taiwan",Taiwan,Married,4,National Taipei University of Technology,"https://imageio.forbes.com/specials-images/imageserve/609326e285d4b3b1edcb9a78/0x0.jpg?format=jpg&crop=798,798,x2,y2,safe&height=416&width=416&fit=bounds",$6.7B,$7.2B,,,,,,,,,,,,,,,$1.8B,$1.6B,$1.6B,$1.4B,$2B,$1.9B,$3.9B,$3.6B,$4.8B,$7.2B,,https://www.forbes.com/profile/lin-shu-hong/?list=billionaires
332,Niels Peter Louis-Hansen,,74,medical devices,,,"Humlebaek, Denmark",Denmark,Married,1,,"https://imageio.forbes.com/specials-images/imageserve/d0b9926c84cb83dc19638faf3e09ff04/0x0.jpg?format=jpg&crop=742,743,x2,y11,safe&height=416&width=416&fit=bounds",$6.4B,$7.2B,,,,,,,,,,,,,,,$2.4B,$3.7B,$3.9B,$3.8B,$3.8B,$4.7B,$5.4B,$7.4B,$8.2B,$7.2B,,https://www.forbes.com/profile/niels-peter-louis-hansen/?list=billionaires
333,Reinhold Schmieding,,67,"medical devices, Self Made",8,,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, Michigan State University","https://imageio.forbes.com/specials-images/imageserve/5d8a751e22254b0008e15d32/0x0.jpg?format=jpg&crop=395,395,x2,y5,safe&height=416&width=416&fit=bounds",$6.9B,$7.2B,,,,,,,,,,,,,,,,$2.6B,$4B,$4.1B,$4.4B,$4.9B,$6B,$5.3B,$6.7B,$7.2B,"Our corporate mission, making people better, is founded on healthcare innovation, new job creation, employee well-being, and charitable giving.",https://www.forbes.com/profile/reinhold-schmieding/?list=billionaires
334,Wee Cho Yaw,,93,banking,,,"Singapore, Singapore",Singapore,Married,5,,"https://imageio.forbes.com/specials-images/imageserve/5a80f50531358e4955ad2ec8/0x0.jpg?format=jpg&crop=3206,3207,x628,y0,safe&height=416&width=416&fit=bounds",$7.1B,$7.2B,,,,,,,,,,,,,,,$5B,$5.2B,$5.5B,$4.2B,$5B,$6.6B,$6.1B,$5B,$6.8B,$7.2B,,https://www.forbes.com/profile/wee-cho-yaw/?list=billionaires
335,Silvio Berlusconi & family,,85,"media, Self Made",,,"Milan, Italy",Italy,Divorced,5,"Doctor of Jurisprudence, University of Milan","https://imageio.forbes.com/specials-images/imageserve/5e76dba710380d0006fbb8a9/0x0.jpg?format=jpg&crop=3189,3188,x824,y77,safe&height=416&width=416&fit=bounds",$6.6B,$7.1B,,,,,,,,,,,,,,,$6.2B,$9B,$7.4B,$6.2B,$7B,$8B,$6.3B,$5.3B,$7.6B,$7.1B,,https://www.forbes.com/profile/silvio-berlusconi/?list=billionaires
336,Arthur Blank,"Chairman, Atlanta Falcons",79,"Home Depot, Self Made",9,3,"Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College","https://imageio.forbes.com/specials-images/imageserve/5d8a8cc56de3150009a50133/0x0.jpg?format=jpg&crop=3699,3696,x310,y16,safe&height=416&width=416&fit=bounds",$6.8B,$7.1B,,,,,,,,,,,,,,,$1.6B,$1.8B,$2.5B,$2.6B,$3.3B,$4.1B,$4.7B,$4.6B,$6.2B,$7.1B,"If someone is out in the desert walking around, they're going to be thirsty. You just have to ask them what they want to drink.",https://www.forbes.com/profile/arthur-blank/?list=billionaires
337,Qian Dongqi & family,,64,"home-cleaning robots, Self Made",,,"Suzhou, China",China,Married,,"Master of Philosophy, Nanjing University","https://imageio.forbes.com/specials-images/imageserve/5e78ddda10380d0006fbd5f5/0x0.jpg?format=jpg&crop=180,180,x0,y2,safe&height=416&width=416&fit=bounds",$6.6B,$7.1B,,,,,,,,,,,,,,,,,,,,,$2B,$1.1B,$6.1B,$7.1B,,https://www.forbes.com/profile/qian-dongqi/?list=billionaires
338,J. Christopher Reyes,"Co-Chairman, Reyes Holdings",68,"food distribution, Self Made",8,1,"Hobe Sound, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Maryland","https://imageio.forbes.com/specials-images/imageserve/033ba8ea1f4e0697e1ca957753400dc9/0x0.jpg?format=jpg&crop=663,664,x35,y3,safe&height=416&width=416&fit=bounds",$7.1B,$7.1B,,,,,,,,,,,,,,,$3.3B,$3.6B,$4B,$3.1B,$4.1B,$4.7B,$4.9B,$6.8B,$5.5B,$7.1B,,https://www.forbes.com/profile/j-christopher-reyes/?list=billionaires
339,Jude Reyes,"Co-Chairman, Reyes Holdings",66,"food distribution, Self Made",8,1,"Palm Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Wofford College",,$7.1B,$7.1B,,,,,,,,,,,,,,,$3.3B,$3.6B,$4B,$3.1B,$4.1B,$4.7B,$4.9B,$6.8B,$5.5B,$7.1B,,https://www.forbes.com/profile/jude-reyes/?list=billionaires
340,Nik Storonsky,,37,"fintech, Self Made",,,"London, United Kingdom",United Kingdom,Married,2,"Master of Science, Moscow Institute of Physics and Technology","https://imageio.forbes.com/specials-images/imageserve/5e7781e910380d0006fbbec0/0x0.jpg?format=jpg&crop=2656,2656,x565,y11,safe&height=416&width=416&fit=bounds",$7.1B,$7.1B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$1.2B,$7.1B,It's not convenient to offer tens of products and let people choose...I just want to click a button and know that the product I'm using is the best.,https://www.forbes.com/profile/nik-storonsky/?list=billionaires
341,Zhou Qunfei & family,"Founder and CEO, Lens Technology",,"smartphone screens, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,,,"https://imageio.forbes.com/specials-images/imageserve/561f080ce4b0ffa7afe5df56/0x0.jpg?format=jpg&crop=678,678,x45,y58,safe&height=416&width=416&fit=bounds",$5.5B,$7.1B,,,,,,,,,,,,,,,,,,$5.9B,$7.4B,$7.8B,$3B,$6.9B,$15.4B,$7.1B,,https://www.forbes.com/profile/zhou-qunfei/?list=billionaires
342,Deng Weiming & family,,53,"battery components, Self Made",,,"Changsha, China",China,Married,,,,$6B,$7B,,,,,,,,,,,,,,,,,,,,,,,$2.8B,$7B,,https://www.forbes.com/profile/deng-weiming/?list=billionaires
343,Judy Faulkner,"Founder-CEO, Epic Systems",78,"health IT, Self Made",8,1,"Madison, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin","https://imageio.forbes.com/specials-images/imageserve/60f732261c4e97d4f2447a80/0x0.jpg?format=jpg&crop=2459,2461,x371,y968,safe&height=416&width=416&fit=bounds",$6.9B,$7B,,,,,,,,,,,,,,,$2B,$3.1B,$2.8B,$2.4B,$2.4B,$3.5B,$3.6B,$2.5B,$6B,$7B,,https://www.forbes.com/profile/judy-faulkner/?list=billionaires
344,Robin Li,"Founder and CEO, Baidu",53,"internet search, Self Made",,,"Beijing, China",China,Married,4,"Bachelor of Arts/Science, Peking University; Master of Arts, University at Buffalo","https://imageio.forbes.com/specials-images/imageserve/5e78e5b7c7b02d000666f23b/0x0.jpg?format=jpg&crop=2211,2210,x1686,y445,safe&height=416&width=416&fit=bounds",$8.2B,$7B,,,,,,,,,,,,,,,$6.9B,$12.1B,$15.3B,$11B,$13.3B,$12B,$9.6B,$4.9B,$14.7B,$7B,,https://www.forbes.com/profile/robin-li/?list=billionaires
345,Carrie Perrodo & family,Philanthropist ,71,oil,,,"London, United Kingdom",France,Widowed,3,,"https://imageio.forbes.com/specials-images/imageserve/5ed4563bce65aef57ded29dc3a87eea7/0x0.jpg?format=jpg&crop=707,707,x2,y5,safe&height=416&width=416&fit=bounds",$8.4B,$7B,,,,,,,,,,,,,,,,$10B,$8.8B,$4.2B,$6.3B,$7.2B,$5.7B,$3B,$5.4B,$7B,,https://www.forbes.com/profile/carrie-perrodo/?list=billionaires
346,David Reuben,,83,"investments, real estate, Self Made",,,"London, United Kingdom",United Kingdom,Married,1,,"https://imageio.forbes.com/specials-images/imageserve/5e77ef2bc7b02d000666e18c/0x0.jpg?format=jpg&crop=1677,1677,x67,y3,safe&height=416&width=416&fit=bounds",$6.8B,$7B,,,,,,,,,,,,,,,$10.5B,$11.5B,$13.7B,$14.4B,$15.3B,$15.5B,$7.5B,$6.8B,$7.7B,$7B,,https://www.forbes.com/profile/david-reuben/?list=billionaires
347,Simon Reuben,,81,"real estate, investments, Self Made",,,"Monaco, Monaco",United Kingdom,Married,1,"Drop Out, Sir John Cass College, London","https://imageio.forbes.com/specials-images/imageserve/5e77f9a510380d0006fbc995/0x0.jpg?format=jpg&crop=1723,1724,x922,y72,safe&height=416&width=416&fit=bounds",$6.8B,$7B,,,,,,,,,,,,,,,,,,,,,$7.5B,$6.8B,$7.7B,$7B,,https://www.forbes.com/profile/simon-reuben/?list=billionaires
348,Seo Jung-jin, Celltrion,64,"biotech, Self Made",,,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University","https://imageio.forbes.com/specials-images/imageserve/625f10e5a124c78f61971d92/0x0.jpg?format=jpg&crop=845,845,x144,y6,safe&height=416&width=416&fit=bounds",$6.4B,$7B,,,,,,,,,,,,,,,$1.2B,$1B,$1.2B,$1.9B,$2.2B,$11.9B,$8.1B,$6.1B,$14.2B,$7B,,https://www.forbes.com/profile/seo-jung-jin/?list=billionaires
349,Roman Abramovich,,55,"steel, investments, Self Made",,,"Moscow, Russia",Russia,Married,7,"Master, Moscow State Law Academy","https://imageio.forbes.com/specials-images/imageserve/62291a5d0ec641a4c77a7528/0x0.jpg?format=jpg&crop=2199,2198,x615,y7,safe&height=416&width=416&fit=bounds",$8.8B,$6.9B,,,,,,,,,,,,,,,$10.2B,$9.1B,$9.1B,$7.6B,$9.1B,$10.8B,$12.4B,$11.3B,$14.5B,$6.9B,,https://www.forbes.com/profile/roman-abramovich/?list=billionaires
350,Micky Arison,"Chairman and CEO, Carnival Corporation",72,Carnival Cruises,5,1,"Bal Harbour, Florida",United States,Married,2,"Drop Out, University of Miami","https://imageio.forbes.com/specials-images/imageserve/5d8a649a22254b0008e15a7a/0x0.jpg?format=jpg&crop=1713,1712,x306,y4,safe&height=416&width=416&fit=bounds",$6.1B,$6.9B,,,,,,,,,,,,,,,$5.7B,$6.5B,$7.1B,$7.1B,$8.1B,$9.7B,$8.9B,$5.1B,$6.7B,$6.9B,,https://www.forbes.com/profile/micky-arison/?list=billionaires
351,Edythe Broad & family,,86,"homebuilding, insurance",1,,"Los Angeles, California",United States,Widowed,2,,"https://imageio.forbes.com/specials-images/imageserve/62446cad7e919f74474ab6ab/0x0.jpg?format=jpg&crop=1097,1096,x1453,y403,safe&height=416&width=416&fit=bounds",$6.9B,$6.9B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/edythe-broad/?list=billionaires
352,Terry Gou,"CEO, Hon Hai Precision",71,"electronics, Self Made",,,"Taipei, Taiwan",Taiwan,Divorced,5,Taipei University of Marine Technology,"https://imageio.forbes.com/specials-images/imageserve/62680710a5f2dc4dd7109d4b/0x0.jpg?format=jpg&crop=649,650,x1329,y353,safe&height=416&width=416&fit=bounds",$7.2B,$6.9B,,,,,,,,,,,,,,,$5.1B,$5.4B,$6.1B,$5.6B,$7.5B,$8.5B,$6.3B,$5.5B,$7B,$6.9B,,https://www.forbes.com/profile/terry-gou/?list=billionaires
353,Jiang Bin,,55,"acoustic components, Self Made",,,"Weifang, China",China,Married,1,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University","https://imageio.forbes.com/specials-images/imageserve/5c78388f31358e35dd279c6e/0x0.jpg?format=jpg&crop=1234,1233,x188,y234,safe&height=416&width=416&fit=bounds",$7.1B,$6.9B,,,,,,,,,,,,,,,$2.2B,$3.7B,$3.3B,$3.3B,$3.2B,$3.2B,$1.7B,$3.2B,$6.2B,$6.9B,,https://www.forbes.com/profile/jiang-bin/?list=billionaires
354,Vinod Khosla,"Partner, Khosla Ventures",67,"venture capital, Self Made",8,2,"Portola Valley, California",United States,Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business","https://imageio.forbes.com/specials-images/imageserve/5f46afa046b2d491d2f8814a/0x0.jpg?format=jpg&crop=3711,3708,x1053,y132,safe&height=416&width=416&fit=bounds",$6.2B,$6.9B,,,,,,,,,,,,,,,$1.5B,$1.5B,$1.7B,$1.5B,$1.6B,$2.3B,$2.1B,$2B,$2.7B,$6.9B,Good isn't good enough; great is barely acceptable.,https://www.forbes.com/profile/vinod-khosla/?list=billionaires
355,Ralph Lauren,"Chairman , Ralph Lauren",82,"apparel, Self Made",9,1,"New York, New York",United States,Married,3,"Drop Out, City University of New York City College; Diploma, High School","https://imageio.forbes.com/specials-images/imageserve/5f4d624c9203e6bccfc46e87/0x0.jpg?format=jpg&crop=1139,1140,x1084,y371,safe&height=416&width=416&fit=bounds",$6.8B,$6.9B,,,,,,,,,,,,,,,$7B,$7B,$7B,$5.5B,$5.5B,$6.2B,$6.9B,$5.7B,$7.1B,$6.9B,,https://www.forbes.com/profile/ralph-lauren/?list=billionaires
356,Douglas Leone,"Global Managing Partner, Sequoia",64,"venture capital, Self Made",9,2,"Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management","https://imageio.forbes.com/specials-images/imageserve/5e907d342b720000076d9406/0x0.jpg?format=jpg&crop=1660,1659,x910,y200,safe&height=416&width=416&fit=bounds",$6.2B,$6.9B,,,,,,,,,,,,,,,,,$2.2B,$2.4B,$2.9B,$3.5B,$3.7B,$3.5B,$5.8B,$6.9B,"Take full responsibilities of failures, and share the successes.",https://www.forbes.com/profile/douglas-leone/?list=billionaires
357,Lucia Maggi & family,Philanthropist ,89,"agribusiness, Self Made",,,"Rondonopolis, Brazil",Brazil,Widowed,5,,,$7.4B,$6.9B,,,,,,,,,,,,,,,,,$1.2B,,,,,,,$6.9B,,https://www.forbes.com/profile/lucia-maggi/?list=billionaires
358,Horst Julius Pudwill,Entrepreneur ,77,"manufacturing, Self Made",,,"Hong Kong, Hong Kong",Germany,Married,1,"Master of Science in Engineering, Technical College in Flensburg","https://imageio.forbes.com/specials-images/imageserve/603527cabc0743d40c71abaa/0x0.jpg?format=jpg&crop=1632,1632,x0,y0,safe&height=416&width=416&fit=bounds",$5.4B,$6.9B,,,,,,,,,,,,,,,,$1B,$1.3B,$1.4B,$1.6B,$2.5B,$2.6B,$2.7B,$6.5B,$6.9B,,https://www.forbes.com/profile/horst-julius-pudwill/?list=billionaires
359,Abdulsamad Rabiu,,61,"cement, sugar",,,"Lagos, Nigeria",Nigeria,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5ffe1cf7e7d384abb660e55e/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$7B,$6.9B,,,,,,,,,,,,,,,,$1.2B,$1B,$1.1B,,,$1.6B,$2.9B,$4.9B,$6.9B,,https://www.forbes.com/profile/abdulsamad-rabiu/?list=billionaires
360,Harry Stine,Entrepreneur ,80,"agriculture, Self Made",10,1,"Adel, Iowa",United States,Married,4,,"https://imageio.forbes.com/specials-images/imageserve/59d7ff5531358e542c036ed6/0x0.jpg?format=jpg&crop=873,873,x324,y116,safe&height=416&width=416&fit=bounds",$7.2B,$6.9B,,,,,,,,,,,,,,,,$3B,$3.3B,$3.6B,$3.5B,$3.9B,$3.9B,$3.8B,$5.4B,$6.9B,"We're going to be able to double corn yields very easily. And apparently a lot of people working in the same industry can't see that...They think, 'How can this be? And furthermore, how can this little farm kid out here be doing this?'",https://www.forbes.com/profile/harry-stine/?list=billionaires
