,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
2448,Joao Alves de Queiroz Filho,,69,"pharmaceuticals, Self Made",,,"São Paulo, Brazil",Brazil,Divorced,3,"Bachelor of Arts/Science, Faculdade Dom Pedro II","https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$1.4B,$1.1B,,,,,,,,,,,,,,$1.7B,$2.1B,$1.4B,$1.2B,,$1.4B,$2B,$1.8B,$1.2B,$1.9B,$1.1B,"I do not remember the things that I did well when I was starting my company. But I remember the mistakes I made very well. 
",https://www.forbes.com/profile/joao-alves-de-queiroz-filho/?list=billionaires
2449,Ryuji Arai,,76,"retail, Self Made",,,"Tokyo, Japan",Japan,,,,,$1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$1.3B,$1.1B,,https://www.forbes.com/profile/ryuji-arai/?list=billionaires
2450,Sara Blakely,"Founder, Spanx",51,"Spanx, Self Made",8,,"Atlanta, Georgia",United States,Married,4,"Bachelor of Arts/Science, Florida State University","https://imageio.forbes.com/specials-images/imageserve/5ceedf889736330008aa67c8/0x0.jpg?format=jpg&crop=1841,1842,x759,y472,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,$1B,$1B,$1B,$1B,$1.1B,$1.1B,$1B,$1.1B,,,$1.1B,"I did not have the most experience in the industry or the most money, but I cared the most.",https://www.forbes.com/profile/sara-blakely/?list=billionaires
2451,Lloyd Blankfein,"CEO, Goldman Sachs Group",67,"banking, Self Made",,,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Harvard University","https://imageio.forbes.com/specials-images/imageserve/572263414bbe6f6f9575032b/0x0.jpg?format=jpg&crop=639,639,x89,y2,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$1.1B,$1.1B,,https://www.forbes.com/profile/lloyd-blankfein/?list=billionaires
2452,Henadiy Boholyubov,,60,"banking, investments, Self Made",,,"Dnipro, Ukraine",Ukraine,Married,5,,"https://imageio.forbes.com/specials-images/imageserve/56cc590ce4b062f6b59a507b/0x0.jpg?format=jpg&crop=742,743,x2,y156,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,$1.7B,$2.3B,$1.3B,$1.3B,$1.4B,$1.2B,$1.2B,$1.2B,$1.7B,$1.1B,,https://www.forbes.com/profile/henadiy-boholyubov/?list=billionaires
2453,Caspar Callerström,,49,"financial services, Self Made",,,"Stockholm, Sweden",Sweden,Married,,"Master of Economics, Stockholm School of Economics","https://imageio.forbes.com/specials-images/imageserve/6245e876b4004e2973bc62e5/0x0.jpg?format=jpg&crop=732,732,x26,y30,safe&height=416&width=416&fit=bounds",$971.1M,$1.1B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/caspar-callerstrom/?list=billionaires
2454,Kejian Cao,,60,"air compressors, Self Made",,,"Quzhou, China",China,Married,1,,"https://imageio.forbes.com/specials-images/imageserve/49e29e276e6cce1a013720fcdb4c4bcc/0x0.jpg?format=jpg&crop=742,743,x0,y127,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,$1B,$1.6B,$1.5B,$1.2B,$1.4B,$1B,,,$1.2B,$1.1B,,https://www.forbes.com/profile/kejian-cao/?list=billionaires
2455,Turgay Ciner,,66,"diversified, Self Made",,,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Istanbul Academy","https://imageio.forbes.com/specials-images/imageserve/5c725c0aa7ea4310004353c9/0x0.jpg?format=jpg&crop=1215,1216,x272,y39,safe&height=416&width=416&fit=bounds",,$1.1B,,,,,,,,,,,,,,$1B,$1.3B,,$1.3B,$1.3B,$1.6B,$1.6B,$1.6B,$1.3B,$1.3B,$1.1B,,https://www.forbes.com/profile/turgay-ciner/?list=billionaires
2456,Dai Lizhong,,53,"medical testing, Self Made",,,"Changsha, China",China,,,"Master of Science, Peking University; Ph.D, Princeton University",,$1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$2.4B,$1.1B,,https://www.forbes.com/profile/dai-lizhong/?list=billionaires
2457,Pedro de Godoy Bueno,,32,health insurance,,,"Sao Paulo, Brazil",Brazil,Married,,,,$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$3B,$1.1B,,https://www.forbes.com/profile/pedro-de-godoy-bueno/?list=billionaires
2458,Aydin Dogan,,86,"media, Self Made",,,"Istanbul, Turkey",Turkey,Married,4,,"https://imageio.forbes.com/specials-images/imageserve/f3b036a9e88fe0f1765e484194428ead/0x0.jpg?format=jpg&crop=362,362,x0,y0,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,$2B,,$1B,$1B,$1.1B,$1.3B,$1.1B,$1B,,,,,$1B,$1.2B,$1.1B,"First honor, then health, then wealth.",https://www.forbes.com/profile/aydin-dogan/?list=billionaires
2459,Wolfgang Egger,,56,"real estate, Self Made",,,"Augsburg, Germany",Germany,,1,,"https://imageio.forbes.com/specials-images/imageserve/5c703e7431358e35dd26e133/0x0.jpg?format=jpg&crop=2044,2046,x1366,y20,safe&height=416&width=416&fit=bounds",,$1.1B,,,,,,,,,,,,,,,,,,,,$1.1B,$1B,,$1.2B,$1.1B,,https://www.forbes.com/profile/wolfgang-egger/?list=billionaires
2460,Gabriel Escarrer,,87,"hotels, Self Made",,,"Palma de Majorca, Spain",Spain,Married,6,,"https://imageio.forbes.com/specials-images/imageserve/5c7216b931358e35dd26fe36/0x0.jpg?format=jpg&crop=357,357,x129,y3,safe&height=416&width=416&fit=bounds",$1.2B,$1.1B,,,,,,,,,,,,,,$1B,$1.2B,$1.7B,$1.6B,$1.3B,$1.7B,$1.8B,$1.4B,,$1.2B,$1.1B,,https://www.forbes.com/profile/gabriel-escarrer/?list=billionaires
2461,Richard Fairbank,,71,"banking, Self Made",,,"McLean, Virginia",United States,Married,8,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Economics, Stanford University","https://imageio.forbes.com/specials-images/imageserve/6246165f16d976ab03503f2b/0x0.jpg?format=jpg&crop=1677,1678,x105,y41,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/richard-fairbank/?list=billionaires
2462,Andy Fang,"Cofounder, DoorDash",29,"food delivery app, Self Made",,,"Monte Vista, California",United States,,,"Bachelor of Arts/Science, Stanford University","https://imageio.forbes.com/specials-images/imageserve/618e9ac85531987afd163397/0x0.jpg?format=jpg&crop=2079,2081,x215,y58,safe&height=416&width=416&fit=bounds",$947.3M,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$2B,$1.1B,,https://www.forbes.com/profile/andy-fang/?list=billionaires
2463,Benedicte Find,,,medical devices,,,"Copenhagen, Denmark",Denmark,,,,,$1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$1.2B,$1.1B,,https://www.forbes.com/profile/benedicte-find/?list=billionaires
2464,Paul Fireman,,78,"Reebok, Self Made",,,"Brookline, Massachusetts",United States,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5a90acd04bbe6f0fa8266b77/0x0.jpg?format=jpg&crop=531,531,x810,y390,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,$1B,$1.1B,,,,,,,$1B,$1B,$1B,$1.1B,$1.1B,$1.1B,$1.1B,$1.1B,,https://www.forbes.com/profile/paul-fireman/?list=billionaires
2465,Donald Friese,,81,"manufacturing, Self Made",10,,"Los Angeles, California",United States,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5a9096ee4bbe6f0fa8266983/0x0.jpg?format=jpg&crop=1199,1199,x1485,y905,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,,,,$1B,$1.2B,$1.2B,$1.2B,$1.1B,$1.1B,$1.1B,"You know the saying, 'Some people are born with a silver spoon?' I didn't even have a spoon.",https://www.forbes.com/profile/donald-friese/?list=billionaires
2466,Soichiro Fukutake,,76,education,,,"Auckland, New Zealand",Japan,Married,1,"Bachelor of Arts/Science, Waseda University","https://imageio.forbes.com/specials-images/imageserve/56fc5638e4b0fd7369a3ba44/0x0.jpg?format=jpg&crop=730,730,x14,y69,safe&height=416&width=416&fit=bounds",$1B,$1.1B,,,,,,,,,,,,,,,$1.2B,$1.3B,$1.1B,$1.1B,$1.1B,$1.3B,$1.1B,$1.1B,$1.1B,$1.1B,"Tokyo is chaos and madness, like New York. There is too much--too much entertainment, too many products, too many people.
",https://www.forbes.com/profile/soichiro-fukutake/?list=billionaires
