,URL
238,https://www.forbes.com/profile/kushal-pal-singh/?list=billionaires
239,https://www.forbes.com/profile/zong-qinghou/?list=billionaires
240,https://www.forbes.com/profile/cai-kui/?list=billionaires
241,https://www.forbes.com/profile/charles-ergen/?list=billionaires
242,https://www.forbes.com/profile/gao-jifan/?list=billionaires
243,https://www.forbes.com/profile/bernard-marcus/?list=billionaires
244,https://www.forbes.com/profile/nicky-oppenheimer/?list=billionaires
245,https://www.forbes.com/profile/bajaj-brothers/?list=billionaires
246,https://www.forbes.com/profile/ernest-garcia-ii/?list=billionaires
247,https://www.forbes.com/profile/paul-xiaoming-lee/?list=billionaires
248,https://www.forbes.com/profile/george-soros/?list=billionaires
249,https://www.forbes.com/profile/wang-liping/?list=billionaires
250,https://www.forbes.com/profile/ernesto-bertarelli/?list=billionaires
251,https://www.forbes.com/profile/tamara-gustavson/?list=billionaires
252,https://www.forbes.com/profile/carlos-alberto-sicupira/?list=billionaires
253,https://www.forbes.com/profile/laurent-dassault/?list=billionaires
254,https://www.forbes.com/profile/thierry-dassault/?list=billionaires
255,https://www.forbes.com/profile/marie-helene-habert-dassault/?list=billionaires
256,https://www.forbes.com/profile/liu-jincheng/?list=billionaires
257,https://www.forbes.com/profile/ma-jianrong/?list=billionaires
258,https://www.forbes.com/profile/steven-rales/?list=billionaires
259,https://www.forbes.com/profile/joseph-tsai/?list=billionaires
260,https://www.forbes.com/profile/francine-von-finck/?list=billionaires
261,https://www.forbes.com/profile/anthony-von-mandl/?list=billionaires
262,https://www.forbes.com/profile/carl-bennet/?list=billionaires
263,https://www.forbes.com/profile/robert-kraft/?list=billionaires
264,https://www.forbes.com/profile/chairul-tanjung/?list=billionaires
265,https://www.forbes.com/profile/manuel-villar/?list=billionaires
266,https://www.forbes.com/profile/jean-michel-besnier/?list=billionaires
267,https://www.forbes.com/profile/marie-besnier-beauvalot/?list=billionaires
268,https://www.forbes.com/profile/gustaf-douglas/?list=billionaires
269,https://www.forbes.com/profile/kjeld-kirk-kristiansen/?list=billionaires
270,https://www.forbes.com/profile/sofie-kirk-kristiansen/?list=billionaires
271,https://www.forbes.com/profile/thomas-kirk-kristiansen/?list=billionaires
272,https://www.forbes.com/profile/stephen-ross/?list=billionaires
273,https://www.forbes.com/profile/agnete-kirk-thinggaard/?list=billionaires
274,https://www.forbes.com/profile/marc-benioff/?list=billionaires
275,https://www.forbes.com/profile/dmitri-bukhman/?list=billionaires
276,https://www.forbes.com/profile/igor-bukhman/?list=billionaires
277,https://www.forbes.com/profile/francis-choi/?list=billionaires
278,https://www.forbes.com/profile/murali-divi/?list=billionaires
279,https://www.forbes.com/profile/nancy-walton-laurie/?list=billionaires
280,https://www.forbes.com/profile/georg-schaeffler/?list=billionaires
281,https://www.forbes.com/profile/yao-liangsong/?list=billionaires
282,https://www.forbes.com/profile/zhong-huijuan/?list=billionaires
283,https://www.forbes.com/profile/stewart-lynda-resnick/?list=billionaires
284,https://www.forbes.com/profile/george-roberts/?list=billionaires
285,https://www.forbes.com/profile/michael-rubin/?list=billionaires
286,https://www.forbes.com/profile/patrick-ryan/?list=billionaires
287,https://www.forbes.com/profile/christopher-hohn/?list=billionaires
288,https://www.forbes.com/profile/marijke-mars/?list=billionaires
289,https://www.forbes.com/profile/pamela-mars/?list=billionaires
290,https://www.forbes.com/profile/valerie-mars/?list=billionaires
291,https://www.forbes.com/profile/victoria-mars/?list=billionaires
292,https://www.forbes.com/profile/hasso-plattner/?list=billionaires
293,https://www.forbes.com/profile/georg-stumpf/?list=billionaires
294,https://www.forbes.com/profile/christy-walton/?list=billionaires
295,https://www.forbes.com/profile/giorgio-armani/?list=billionaires
296,https://www.forbes.com/profile/gopikishan-damani/?list=billionaires
297,https://www.forbes.com/profile/ding-shizhong/?list=billionaires
298,https://www.forbes.com/profile/jim-kennedy/?list=billionaires
299,https://www.forbes.com/profile/german-khan/?list=billionaires
300,https://www.forbes.com/profile/liang-wengen/?list=billionaires
301,https://www.forbes.com/profile/blair-parry-okeden/?list=billionaires
302,https://www.forbes.com/profile/tsai-eng-meng/?list=billionaires
303,https://www.forbes.com/profile/bajaj-siblings/?list=billionaires
304,https://www.forbes.com/profile/ashwin-dani/?list=billionaires
305,https://www.forbes.com/profile/ding-shijia/?list=billionaires
306,https://www.forbes.com/profile/karel-komarek/?list=billionaires
307,https://www.forbes.com/profile/henry-kravis/?list=billionaires
308,https://www.forbes.com/profile/frederik-paulsen/?list=billionaires
309,https://www.forbes.com/profile/safra/?list=billionaires
310,https://www.forbes.com/profile/nassef-sawiris/?list=billionaires
311,https://www.forbes.com/profile/xu-shihui/?list=billionaires
312,https://www.forbes.com/profile/rahel-blocher/?list=billionaires
313,https://www.forbes.com/profile/shahid-khan/?list=billionaires
314,https://www.forbes.com/profile/magdalena-martullo-blocher/?list=billionaires
315,https://www.forbes.com/profile/vincent-bollore/?list=billionaires
316,https://www.forbes.com/profile/jeffery-hildebrand/?list=billionaires
317,https://www.forbes.com/profile/michael-kim/?list=billionaires
318,https://www.forbes.com/profile/richard-kinder/?list=billionaires
319,https://www.forbes.com/profile/david-shaw/?list=billionaires
320,https://www.forbes.com/profile/john-malone/?list=billionaires
321,https://www.forbes.com/profile/vicky-safra/?list=billionaires
322,https://www.forbes.com/profile/tim-sweeney/?list=billionaires
323,https://www.forbes.com/profile/mike-adenuga/?list=billionaires
324,https://www.forbes.com/profile/david-green/?list=billionaires
325,https://www.forbes.com/profile/paul-tudor-jones-ii/?list=billionaires
326,https://www.forbes.com/profile/yuri-milner/?list=billionaires
327,https://www.forbes.com/profile/henry-samueli/?list=billionaires
328,https://www.forbes.com/profile/patrick-soon-shiong/?list=billionaires
329,https://www.forbes.com/profile/antonia-axson-johnson/?list=billionaires
330,https://www.forbes.com/profile/michael-kadoorie/?list=billionaires
331,https://www.forbes.com/profile/lin-shu-hong/?list=billionaires
332,https://www.forbes.com/profile/niels-peter-louis-hansen/?list=billionaires
333,https://www.forbes.com/profile/reinhold-schmieding/?list=billionaires
334,https://www.forbes.com/profile/wee-cho-yaw/?list=billionaires
335,https://www.forbes.com/profile/silvio-berlusconi/?list=billionaires
336,https://www.forbes.com/profile/arthur-blank/?list=billionaires
337,https://www.forbes.com/profile/qian-dongqi/?list=billionaires
338,https://www.forbes.com/profile/j-christopher-reyes/?list=billionaires
339,https://www.forbes.com/profile/jude-reyes/?list=billionaires
340,https://www.forbes.com/profile/nik-storonsky/?list=billionaires
341,https://www.forbes.com/profile/zhou-qunfei/?list=billionaires
342,https://www.forbes.com/profile/deng-weiming/?list=billionaires
343,https://www.forbes.com/profile/judy-faulkner/?list=billionaires
344,https://www.forbes.com/profile/robin-li/?list=billionaires
345,https://www.forbes.com/profile/carrie-perrodo/?list=billionaires
346,https://www.forbes.com/profile/david-reuben/?list=billionaires
347,https://www.forbes.com/profile/simon-reuben/?list=billionaires
